Date : 2026-04-14 20:12:49
Directory : d:\Projects\C\cleonos
Total : 98 files,  6203 codes, 2 comments, 1653 blanks, all 7858 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |         59 |      4,091 |          0 |      1,166 |      5,257 |
| Python           |          8 |      1,090 |          2 |        209 |      1,301 |
| Markdown         |         11 |        636 |          0 |        195 |        831 |
| C++              |         14 |        206 |          0 |         37 |        243 |
| PowerShell       |          1 |        107 |          0 |         24 |        131 |
| CMake            |          1 |         44 |          0 |          9 |         53 |
| Rust             |          1 |         21 |          0 |          6 |         27 |
| Go Assembly      |          1 |         14 |          0 |          6 |         20 |
| pip requirements |          1 |          1 |          0 |          1 |          2 |
| Batch            |          1 |         -7 |          0 |          0 |         -7 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                           |         98 |      6,203 |          2 |      1,653 |      7,858 |
| . (Files)                                                   |          1 |         44 |          0 |          9 |         53 |
| cleonos                                                     |         44 |      1,596 |          0 |        473 |      2,069 |
| cleonos\c                                                   |         44 |      1,596 |          0 |        473 |      2,069 |
| cleonos\c\apps                                              |         41 |      1,494 |          0 |        452 |      1,946 |
| cleonos\c\apps (Files)                                      |         34 |       -243 |          0 |        -20 |       -263 |
| cleonos\c\apps\shell                                        |          7 |      1,737 |          0 |        472 |      2,209 |
| cleonos\c\include                                           |          1 |         42 |          0 |          1 |         43 |
| cleonos\c\src                                               |          2 |         60 |          0 |         20 |         80 |
| clks                                                        |         31 |      2,736 |          0 |        742 |      3,478 |
| clks\arch                                                   |          1 |         14 |          0 |          6 |         20 |
| clks\arch\x86_64                                            |          1 |         14 |          0 |          6 |         20 |
| clks\drivers                                                |          3 |        140 |          0 |         44 |        184 |
| clks\drivers\video                                          |          3 |        140 |          0 |         44 |        184 |
| clks\include                                                |         11 |         79 |          0 |         16 |         95 |
| clks\include\clks                                           |         11 |         79 |          0 |         16 |         95 |
| clks\kernel                                                 |         14 |      2,457 |          0 |        663 |      3,120 |
| clks\lib                                                    |          1 |         25 |          0 |          7 |         32 |
| clks\rust                                                   |          1 |         21 |          0 |          6 |         27 |
| clks\rust\src                                               |          1 |         21 |          0 |          6 |         27 |
| docs                                                        |         10 |        599 |          0 |        181 |        780 |
| ramdisk                                                     |          1 |         -7 |          0 |          0 |         -7 |
| ramdisk\shell                                               |          1 |         -7 |          0 |          0 |         -7 |
| scripts                                                     |          1 |        107 |          0 |         24 |        131 |
| wine                                                        |         10 |      1,128 |          2 |        224 |      1,354 |
| wine (Files)                                                |          3 |         41 |          1 |         18 |         60 |
| wine\cleonos_wine_lib                                       |          7 |      1,087 |          1 |        206 |      1,294 |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                    | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\Projects\C\cleonos\CMakeLists.txt                        | CMake            |         44 |          0 |          9 |         53 |
| d:\Projects\C\cleonos\cleonos\c\apps\ansi_main.c            | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\append_main.c          | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\cat_main.c             | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\cd_main.c              | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\clear_main.c           | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\cp_main.c              | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\dmesg_main.c           | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\exec_main.c            | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\exit_main.c            | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\fsstat_main.c          | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\hello_main.c           | C                |          6 |          0 |          2 |          8 |
| d:\Projects\C\cleonos\cleonos\c\apps\help_main.c            | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\kbdstat_main.c         | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\ls_main.c              | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\memstat_main.c         | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\mkdir_main.c           | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\mv_main.c              | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\pid_main.c             | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\pwd_main.c             | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\restart_main.c         | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\rm_main.c              | C                |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_cmd.c      | C                |        776 |          0 |        182 |        958 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_external.c | C                |        223 |          0 |         75 |        298 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_input.c    | C                |        255 |          0 |         68 |        323 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_internal.h | C++              |         84 |          0 |         19 |        103 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_path.c     | C                |        153 |          0 |         50 |        203 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_script.c   | C                |         35 |          0 |         12 |         47 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_util.c     | C                |        211 |          0 |         66 |        277 |
