Date : 2026-04-14 20:12:49
Directory : d:\Projects\C\cleonos
Total : 165 files,  13838 codes, 10 comments, 3547 blanks, all 17395 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |         79 |      9,394 |          6 |      2,615 |     12,015 |
| Markdown         |         28 |      1,296 |          0 |        297 |      1,593 |
| Python           |          8 |      1,090 |          2 |        209 |      1,301 |
| C++              |         36 |        846 |          0 |        205 |      1,051 |
| CMake            |          5 |        764 |          0 |        120 |        884 |
| PowerShell       |          1 |        171 |          2 |         42 |        215 |
| Go Assembly      |          2 |        122 |          0 |         18 |        140 |
| Makefile         |          1 |        100 |          0 |         22 |        122 |
| Rust             |          2 |         44 |          0 |         15 |         59 |
| Properties       |          1 |          6 |          0 |          1 |          7 |
| Batch            |          1 |          4 |          0 |          2 |          6 |
| pip requirements |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |        165 |     13,838 |         10 |      3,547 |     17,395 |
| . (Files)                                                     |          2 |        679 |          0 |        106 |        785 |
| cleonos                                                       |         52 |      2,216 |          4 |        667 |      2,887 |
| cleonos\c                                                     |         51 |      2,193 |          4 |        658 |      2,855 |
| cleonos\c (Files)                                             |          1 |          3 |          4 |          2 |          9 |
| cleonos\c\apps                                                |         46 |      1,922 |          0 |        591 |      2,513 |
| cleonos\c\apps (Files)                                        |         39 |        185 |          0 |        119 |        304 |
| cleonos\c\apps\shell                                          |          7 |      1,737 |          0 |        472 |      2,209 |
| cleonos\c\include                                             |          2 |        108 |          0 |         10 |        118 |
| cleonos\c\src                                                 |          2 |        160 |          0 |         55 |        215 |
| cleonos\rust                                                  |          1 |         23 |          0 |          9 |         32 |
| cleonos\rust\src                                              |          1 |         23 |          0 |          9 |         32 |
| clks                                                          |         67 |      8,190 |          2 |      2,186 |     10,378 |
| clks\arch                                                     |          4 |        134 |          0 |         20 |        154 |
| clks\arch\aarch64                                             |          1 |          6 |          0 |          1 |          7 |
| clks\arch\x86_64                                              |          3 |        128 |          0 |         19 |        147 |
| clks\drivers                                                  |          6 |        599 |          0 |        152 |        751 |
| clks\drivers\serial                                           |          1 |         52 |          0 |         16 |         68 |
| clks\drivers\video                                            |          5 |        547 |          0 |        136 |        683 |
| clks\include                                                  |         31 |        634 |          0 |        168 |        802 |
| clks\include\clks                                             |         31 |        634 |          0 |        168 |        802 |
| clks\kernel                                                   |         23 |      6,723 |          2 |      1,817 |      8,542 |
| clks\lib                                                      |          2 |         79 |          0 |         23 |        102 |
| clks\rust                                                     |          1 |         21 |          0 |          6 |         27 |
| clks\rust\src                                                 |          1 |         21 |          0 |          6 |         27 |
| cmake                                                         |          4 |        185 |          0 |         36 |        221 |
| configs                                                       |          1 |          6 |          0 |          1 |          7 |
| docs                                                          |         27 |      1,259 |          0 |        283 |      1,542 |
| ramdisk                                                       |          1 |          4 |          0 |          2 |          6 |
| ramdisk\shell                                                 |          1 |          4 |          0 |          2 |          6 |
| scripts                                                       |          1 |        171 |          2 |         42 |        215 |
| wine                                                          |         10 |      1,128 |          2 |        224 |      1,354 |
| wine (Files)                                                  |          3 |         41 |          1 |         18 |         60 |
| wine\cleonos_wine_lib                                         |          7 |      1,087 |          1 |        206 |      1,294 |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                      | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------------+------------+------------+------------+------------+
