"filename", "language", "YAML", "CMake", "Makefile", "C", "C++", "JSON", "Python", "comment", "blank", "total"
"d:\Projects\C\cleonos\.github\workflows\build-os.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 1, 1, 30
"d:\Projects\C\cleonos\CMakeLists.txt", "CMake", 0, 161, 0, 0, 0, 0, 0, 0, 10, 171
"d:\Projects\C\cleonos\Makefile", "Makefile", 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"d:\Projects\C\cleonos\cleonos\c\apps\cat_main.c", "C", 0, 0, 0, 4, 0, 0, 0, 0, -2, 2
"d:\Projects\C\cleonos\cleonos\c\apps\cmd_runtime.c", "C", 0, 0, 0, 18, 0, 0, 0, 0, -4, 14
"d:\Projects\C\cleonos\cleonos\c\apps\cmd_runtime.h", "C++", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\Projects\C\cleonos\cleonos\c\apps\cp_main.c", "C", 0, 0, 0, 16, 0, 0, 0, 0, -1, 15
"d:\Projects\C\cleonos\cleonos\c\apps\dltest_main.c", "C", 0, 0, 0, 38, 0, 0, 0, 0, 11, 49
"d:\Projects\C\cleonos\cleonos\c\apps\fsstat_main.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\cleonos\c\apps\grep_main.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\Projects\C\cleonos\cleonos\c\apps\head_main.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\cleonos\c\apps\hello_main.c", "C", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\Projects\C\cleonos\cleonos\c\apps\libctest_main.c", "C", 0, 0, 0, 219, 0, 0, 0, 0, 39, 258
"d:\Projects\C\cleonos\cleonos\c\apps\libdemo_main.c", "C", 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\Projects\C\cleonos\cleonos\c\apps\ls_main.c", "C", 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_cmd.c", "C", 0, 0, 0, 219, 0, 0, 0, 0, 63, 282
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_external.c", "C", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_input.c", "C", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_internal.h", "C++", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_util.c", "C", 0, 0, 0, -20, 0, 0, 0, 0, -9, -29
"d:\Projects\C\cleonos\cleonos\c\apps\stats_main.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\cleonos\c\apps\tail_main.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\cleonos\c\apps\top_main.c", "C", 0, 0, 0, -1, 0, 0, 0, 0, -2, -3
"d:\Projects\C\cleonos\cleonos\c\apps\wavplay_main.c", "C", 0, 0, 0, 59, 0, 0, 0, 0, 11, 70
"d:\Projects\C\cleonos\cleonos\c\apps\wc_main.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\cleonos\c\include\cleonos_stdio.h", "C++", 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"d:\Projects\C\cleonos\cleonos\c\include\cleonos_syscall.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"d:\Projects\C\cleonos\cleonos\c\include\ctype.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\Projects\C\cleonos\cleonos\c\include\dlfcn.h", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\Projects\C\cleonos\cleonos\c\include\stdio.h", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"d:\Projects\C\cleonos\cleonos\c\include\stdlib.h", "C++", 0, 0, 0, 0, 27, 0, 0, 0, 10, 37
"d:\Projects\C\cleonos\cleonos\c\include\string.h", "C++", 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"d:\Projects\C\cleonos\cleonos\c\src\dlfcn.c", "C", 0, 0, 0, 33, 0, 0, 0, 0, 16, 49
"d:\Projects\C\cleonos\cleonos\c\src\libc_ctype.c", "C", 0, 0, 0, 34, 0, 0, 0, 0, 12, 46
"d:\Projects\C\cleonos\cleonos\c\src\libc_stdlib.c", "C", 0, 0, 0, 198, 0, 0, 0, 0, 57, 255
"d:\Projects\C\cleonos\cleonos\c\src\libc_string.c", "C", 0, 0, 0, 340, 0, 0, 0, 0, 106, 446
"d:\Projects\C\cleonos\cleonos\c\src\runtime.c", "C", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\C\cleonos\cleonos\c\src\stdio.c", "C", 0, 0, 0, 393, 0, 0, 0, 0, 108, 501
"d:\Projects\C\cleonos\cleonos\c\src\syscall.c", "C", 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"d:\Projects\C\cleonos\clks\include\clks\exec.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"d:\Projects\C\cleonos\clks\include\clks\syscall.h", "C++", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\Projects\C\cleonos\clks\include\clks\tty.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\clks\kernel\exec.c", "C", 0, 0, 0, 515, 0, 0, 0, 0, 120, 635
"d:\Projects\C\cleonos\clks\kernel\fs.c", "C", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"d:\Projects\C\cleonos\clks\kernel\keyboard.c", "C", 0, 0, 0, 28, 0, 0, 0, 0, 8, 36
"d:\Projects\C\cleonos\clks\kernel\kmain.c", "C", 0, 0, 0, 188, 0, 0, 0, 0, 25, 213
"d:\Projects\C\cleonos\clks\kernel\shell.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\clks\kernel\syscall.c", "C", 0, 0, 0, 108, 0, 0, 0, 0, 31, 139
"d:\Projects\C\cleonos\clks\kernel\tty.c", "C", 0, 0, 0, 73, 0, 0, 0, 0, 15, 88
"d:\Projects\C\cleonos\clks\kernel\userland.c", "C", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
